test_id,varied_index,varied_value,primal_manual_vs_original,primal_herbie_vs_original,primal_manual_vs_herbie,first_manual_vs_original,first_herbie_vs_original,first_manual_vs_herbie,second_manual_vs_original,second_herbie_vs_original,second_manual_vs_herbie
247,3,-1.1752771174629412e-09,0,0,0,0,0,0,0,0,0
248,3,-1.1017528137883858e-09,0,0,0,0,0,0,0,0,0
249,3,-1.0328281259410264e-09,0,0,0,0,0,0,0,0,0
250,3,-9.6821530599670514e-10,0,0,0,0,0,0,0,0,0
251,3,-9.0764460728853498e-10,0,0,0,0,0,0,0,0,0
252,3,-8.5086315826405624e-10,0,0,0,0,0,0,0,0,0
253,3,-7.9763390679292782e-10,0,0,0,0,0,0,0,0,0
254,3,-7.477346305177581e-10,0,0,0,0,0,0,0,0,0
255,3,-7.0095700911656071e-10,0,0,0,0,0,0,0,0,0
256,3,-6.5710575460362501e-10,0,0,0,0,0,0,0,0,0
257,3,-6.159977960380139e-10,0,0,0,0,0,0,0,0,0
258,3,-5.7746151523598089e-10,0,0,0,0,0,0,0,0,0
259,3,-5.413360302965362e-10,0,0,0,0,0,0,0,0,0
260,3,-5.0747052394904632e-10,0,0,0,0,0,0,0,0,0
261,3,-4.7572361391878794e-10,0,0,0,0,0,0,0,0,0
262,3,-4.459627626819079e-10,0,0,0,0,0,0,0,0,0
263,3,-4.1806372414557397e-10,0,0,0,0,0,0,0,0,0
264,3,-3.9191002494333968e-10,0,0,0,0,0,0,0,0,0
265,3,-3.6739247818020632e-10,0,0,0,0,0,0,0,0,0
266,3,-3.4440872759738198e-10,0,0,0,0,0,0,0,0,0
